id,group,yr
A,1,2016
A,2,2016
A,3,2016
A,4,2016
A,5,2016
A,6,2016
A,7,2016
A,8,2016
A,9,2016
A,10,2016
A,11,2016
A,12,2016
A,13,2016
A,14,2016
A,15,2016
A,16,2016
A,17,2016
A,18,2016
A,19,2016
A,20,2016
A,21,2016
A,22,2016
A,23,2016
A,24,2016
A,25,2016
A,26,2016
A,27,2016
A,28,2016
A,29,2016
A,30,2016
A,31,2016
A,32,2016
A,33,2016
A,34,2016
A,35,2016
A,36,2016
A,37,2016
A,38,2016
A,39,2016
A,40,2016
A,41,2016
A,42,2016
A,43,2016
A,44,2016
A,45,2016
A,46,2016
A,47,2016
A,48,2016
A,49,2016
A,50,2016
A,51,2016
A,52,2016
A,53,2016
A,54,2016
A,55,2016
A,56,2016
A,57,2016
A,58,2016
A,59,2016
A,60,2016
A,61,2016
A,62,2016
A,63,2016
A,64,2016
A,65,2016
A,66,2016
A,67,2016
A,68,2016
A,69,2016
A,70,2016
A,71,2016
A,72,2016
A,73,2016
A,74,2016
A,75,2016
A,76,2016
A,77,2016
A,78,2016
A,79,2016
A,80,2016
A,81,2016
A,82,2016
A,83,2016
A,84,2016
A,85,2016
A,86,2016
A,87,2016
A,88,2016
A,89,2016
A,90,2016
A,91,2016
A,92,2016
A,93,2016
A,94,2016
A,95,2016
A,96,2016
A,97,2016
A,98,2016
A,99,2016
A,100,2016
A,101,2016
A,102,2016
A,103,2016
A,104,2016
A,105,2016
A,106,2016
A,107,2016
A,108,2016
A,109,2016
A,110,2016
A,111,2016
A,112,2016
A,113,2016
A,114,2016
A,115,2016
A,116,2016
A,117,2016
A,118,2016
A,119,2016
A,120,2016
A,121,2016
A,122,2016
A,123,2016
A,124,2016
A,125,2016
A,126,2016
A,127,2016
A,128,2016
A,129,2016
A,130,2016
A,131,2016
A,132,2016
A,133,2016
A,134,2016
A,135,2016
A,136,2016
A,137,2016
A,138,2016
A,139,2016
A,140,2016
A,141,2016
A,142,2016
A,143,2016
A,144,2016
A,145,2016
A,146,2016
A,147,2016
A,148,2016
A,149,2016
A,150,2016
A,151,2016
A,152,2016
A,153,2016
A,154,2016
A,155,2016
A,156,2016
A,157,2016
A,158,2016
A,159,2016
A,160,2016
A,161,2016
A,162,2016
A,163,2016
A,164,2016
A,165,2016
A,166,2016
A,167,2016
A,168,2016
A,169,2016
A,170,2016
A,171,2016
A,172,2016
A,173,2016
A,174,2016
A,175,2016
A,176,2016
A,177,2016
A,178,2016
A,179,2016
A,180,2016
A,181,2016
A,182,2016
A,183,2016
A,184,2016
A,185,2016
A,186,2016
A,187,2016
A,188,2016
A,189,2016
A,190,2016
A,191,2016
A,192,2016
A,193,2016
A,194,2016
A,195,2016
A,196,2016
A,197,2016
A,198,2016
A,199,2016
A,200,2016
A,201,2016
A,202,2016
A,203,2016
A,204,2016
A,205,2016
A,206,2016
A,207,2016
A,208,2016
A,209,2016
A,210,2016
A,211,2016
A,212,2016
A,213,2016
A,214,2016
A,215,2016
A,216,2016
A,217,2016
A,218,2016
A,219,2016
A,220,2016
A,221,2016
A,222,2016
A,223,2016
A,224,2016
A,225,2016
A,226,2016
A,227,2016
A,228,2016
A,229,2016
A,230,2016
A,231,2016
A,232,2016
A,233,2016
A,234,2016
A,235,2016
A,236,2016
A,237,2016
A,238,2016
A,239,2016
A,240,2016
